pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
46;1545;1581;0;643;0;100;4;3;2;2;1;0;4;2;1;26;3;3;196;15;2;2
46;767;767;0;0;0;30;3;2;2;3;1;0;4;3;1;26;3;3;190;16;2;1
56;568;602;0;28;0;60;3;2;3;3;1;0;4;3;1;25;3;2;199;18;2;1
61;1141;602;1;22;0;70;4;2;3;3;1;0;4;3;1;24;3;2;199;18;2;0
38;1531;1102;0;39;0;20;4;2;3;3;1;0;6;1;1;24;5;3;203;15;2;1
34;213;731;0;110;0;20;3;3;0;1;1;0;6;3;1;22;-1;2;204;13;2;2
45;1779;1757;0;58;0;100;3;3;3;3;1;0;4;0;1;25;5;4;203;18;2;2
63;1519;1519;0;0;0;20;3;4;0;2;1;0;4;4;1;25;2;2;210;10;2;1
30;701;1123;1;34;0;30;3;3;1;2;1;0;4;3;1;25;3;2;212;20;2;0
46;37;116;0;803;0;100;4;2;3;3;1;0;6;4;1;25;5;3;214;14;2;1
47;988;988;0;0;0;24;2;2;1;3;1;0;4;3;1;27;2;3;215;11;2;2
42;402;684;0;66;1;50;4;4;2;2;1;0;8;2;1;26;3;3;215;20;2;2
58;215;352;0;388;0;65;4;2;3;3;1;0;4;4;1;28;2;3;214;18;2;1
28;231;362;0;21;0;30;3;4;1;1;1;0;4;3;1;25;2;2;227;17;2;0
42;196;968;1;46;0;10;1;4;0;1;1;0;4;4;1;25;2;1;227;16;2;0
54;1366;1366;0;0;0;80;4;3;3;3;1;1;4;3;2;41;1;3;227;16;2;0
60;362;497;0;306;0;50;4;2;2;2;1;0;6;4;1;25;3;3;236;14;2;0
62;251;784;0;7;0;300;4;3;3;3;1;2;4;3;2;41;5;2;236;12;2;0
34;271;1149;1;76;0;10;3;4;0;1;1;0;4;3;1;25;0;2;236;15;2;2
56;112;113;0;364;0;70;3;4;2;2;1;0;4;4;1;26;3;3;245;17;3;1
70;414;414;0;0;0;200;4;3;3;2;1;0;5;0;1;25;0;2;258;15;3;2
50;728;663;0;32;0;50;4;2;3;3;1;0;4;4;1;26;3;2;257;15;3;1
68;4;710;0;830;0;103;4;3;2;2;1;0;4;2;1;25;3;2;254;17;3;2
65;922;965;0;14;0;150;4;3;3;3;1;0;4;4;1;27;1;3;226;9;2;2
40;425;425;0;0;0;100;4;2;3;3;1;0;4;3;1;25;0;2;269;20;3;2
51;3;433;0;592;0;40;3;3;1;2;1;0;4;0;1;25;3;2;270;17;3;2
49;53;16;0;100;0;5;4;2;3;3;1;0;4;4;1;29;-1;1;246;17;3;2
34;73;751;0;1600;1;0;3;4;2;2;1;0;4;2;1;22;2;2;284;11;3;1
52;488;648;0;135;0;50;3;3;1;3;1;0;4;0;1;25;0;2;256;18;3;0
47;379;1123;1;43;0;10;4;2;3;3;1;0;4;4;1;25;3;3;256;19;3;0
64;1279;1092;0;11;0;20;4;3;3;3;1;0;4;3;1;22;3;3;209;17;2;1
44;477;819;1;61;1;20;2;2;0;1;1;0;5;2;1;25;2;2;297;15;3;2
46;988;73;1;2802;0;300;4;3;3;3;1;0;7;4;1;22;5;3;327;13;3;1
66;390;390;0;0;0;60;3;2;0;2;1;0;4;3;1;24;3;2;348;15;3;1
49;0;16;0;17136;0;65;2;3;2;2;1;0;4;3;1;25;3;3;345;9;3;1
42;520;520;0;0;0;200;4;3;3;3;1;0;5;3;1;26;-1;3;14;12;0;1
17;994;994;0;0;1;5;1;2;1;1;1;0;4;3;1;22;2;3;17;14;0;0
45;1362;1893;0;18;0;200;4;3;3;1;1;1;7;3;2;41;3;3;24;12;0;1
52;1757;1757;0;0;0;200;4;3;3;3;1;1;4;3;2;41;1;1;51;10;0;1
49;377;294;0;25;0;100;4;2;3;3;1;0;5;3;1;22;5;3;67;15;1;0
33;1936;1936;0;0;0;100;3;3;1;3;1;0;5;3;1;23;3;4;73;14;1;2
51;965;965;0;0;0;250;4;3;3;3;1;0;4;3;1;22;3;2;132;14;1;1
41;160;432;0;74;1;4;4;3;3;3;1;0;4;3;1;24;3;2;141;14;1;1
51;480;1095;1;18;0;60;3;3;3;3;1;0;5;3;1;26;-1;3;143;10;1;2
36;1888;1737;0;20;0;125;4;3;0;3;1;0;6;1;1;23;3;3;144;16;1;2
35;1281;1281;0;0;0;25;2;3;1;1;1;0;5;4;1;23;0;3;148;12;1;2
31;220;618;0;6;0;41;3;2;3;3;1;0;6;3;1;26;3;2;152;13;2;1
