;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE
352;64;40;4;3;3
353;51;30;3;2;2
354;44;28;4;2;2
355;56;150;4;3;3
356;82;44;4;3;1
357;51;10;4;4;3
358;33;350;4;3;3
359;53;37;4;2;3
360;58;10;4;2;1
361;54;150;4;3;3
362;56;30;3;4;0
363;50;300;4;3;3
364;45;200;4;3;3
365;70;80;4;2;3
366;50;50;4;3;3
367;56;30;4;2;3
368;75;0;4;2;3
369;60;30;4;3;3
370;46;100;4;3;3
371;49;40;4;4;0
372;65;80;4;3;3
373;25;0;2;3;0
374;37;500;4;3;3
375;33;147;4;3;3
376;28;10;2;2;1
377;66;50;3;3;2
378;24;100;3;3;2
379;63;20;4;3;3
380;42;200;4;3;3
381;30;35;1;2;0
382;50;300;4;3;3
383;62;15;4;3;1
384;65;50;3;3;2
385;50;68;4;2;3
386;24;30;2;2;1
387;46;70;4;2;3
388;55;50;4;2;3
389;59;78;4;3;3
390;57;28;4;2;3
391;31;250;4;3;3
392;51;150;4;3;3
393;39;25;4;2;3
394;49;140;4;3;3
395;49;170;2;3;3
396;23;250;4;3;3
397;48;30;4;2;3
398;33;10;2;2;0
399;43;230;1;3;0
400;69;45;4;3;2
401;61;20;4;3;2
402;57;300;4;3;3
403;38;90;4;4;3
404;52;90;3;2;1
405;49;60;3;4;2
406;56;10;2;3;0
407;33;150;4;3;3
408;30;150;4;3;3
409;31;40;1;2;1
410;30;10;3;2;1
411;68;10;4;2;2
412;58;10;3;3;0
413;42;200;3;4;0
414;22;100;1;2;1
415;28;80;3;3;3
416;48;40;4;3;3
417;26;300;4;3;3
418;73;10;4;2;2
419;66;5;4;2;3
420;63;40;4;2;3
421;66;0;3;2;2
422;55;50;4;4;2
423;67;10;2;2;1
424;56;30;4;4;2
425;56;20;4;3;0
426;48;300;4;3;3
427;69;15;4;3;1
428;37;50;4;3;3
429;69;25;4;4;3
430;69;50;4;2;3
431;57;30;4;4;2
432;34;0;3;2;2
433;36;30;3;3;0
434;58;20;3;2;2
435;65;30;3;4;2
436;52;25;4;3;2
437;54;50;2;4;0
438;43;70;4;3;3
439;26;150;3;3;0
440;43;30;3;2;2
441;32;30;2;2;1
442;57;80;3;3;1
443;46;11;2;4;1
444;28;0;1;2;1
445;37;50;3;3;1
446;36;167;3;3;3
447;44;5;4;3;3
448;52;35;3;2;1
449;49;15;2;4;0
450;67;0;4;4;3
451;65;75;3;3;2
452;63;10;4;2;3
453;48;35;4;3;3
454;66;50;3;3;1
455;60;15;4;2;3
456;73;60;4;3;3
457;49;300;3;2;2
458;44;40;3;3;3
459;60;80;4;3;3
460;23;10;2;3;0
461;43;12;4;4;0
462;44;10;4;4;1
463;36;200;4;3;3
464;22;20;2;2;0
465;64;10;4;3;2
466;47;13;4;4;2
467;57;20;3;2;0
468;43;60;2;2;1
469;70;50;4;3;3
470;52;40;4;2;2
471;33;500;4;3;3
472;61;60;4;2;2
473;46;20;3;2;0
474;42;100;3;3;1
475;63;45;4;2;2
476;45;30;3;2;3
477;44;30;4;4;2
478;64;30;3;2;0
479;53;35;4;2;3
480;70;40;4;3;2
481;44;15;3;3;0
482;45;30;4;3;3
483;32;6;1;3;0
484;44;80;4;3;3
485;50;85;2;2;1
486;54;50;3;4;1
487;34;20;3;2;2
488;58;37;4;3;3
489;61;100;4;3;3
490;37;60;3;2;2
491;39;50;4;2;3
492;28;27;1;3;0
493;54;5;2;3;1
494;26;50;2;2;1
495;57;30;4;3;2
496;34;8;2;4;0
497;45;50;3;3;2
498;40;50;4;2;3
499;30;25;3;2;0
500;25;150;2;2;2
501;65;63;3;2;3
502;48;35;2;2;2
503;41;50;4;4;2
504;25;100;3;3;1
505;38;50;4;2;1
506;64;20;4;2;0
507;56;20;4;4;0
508;44;80;3;4;2
509;45;60;4;4;2
510;38;100;4;3;3
511;32;19;3;2;2
512;52;30;4;4;3
513;29;0;1;4;1
