;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE
365;70;80;4;2;3;3
366;50;50;4;3;3;3
367;56;30;4;2;3;3
368;75;0;4;2;3;3
369;60;30;4;3;3;3
370;46;100;4;3;3;3
371;49;40;4;4;0;2
372;65;80;4;3;3;3
373;25;0;2;3;0;1
374;37;500;4;3;3;3
375;33;147;4;3;3;3
376;28;10;2;2;1;2
377;66;50;3;3;2;2
378;24;100;3;3;2;1
379;63;20;4;3;3;3
380;42;200;4;3;3;3
381;30;35;1;2;0;1
382;50;300;4;3;3;3
383;62;15;4;3;1;2
384;65;50;3;3;2;2
385;50;68;4;2;3;3
386;24;30;2;2;1;2
387;46;70;4;2;3;3
388;55;50;4;2;3;0
389;59;78;4;3;3;3
390;57;28;4;2;3;3
391;31;250;4;3;3;3
392;51;150;4;3;3;3
393;39;25;4;2;3;3
394;49;140;4;3;3;3
395;49;170;2;3;3;3
396;23;250;4;3;3;3
397;48;30;4;2;3;3
398;33;10;2;2;0;1
399;43;230;1;3;0;2
400;69;45;4;3;2;2
401;61;20;4;3;2;2
402;57;300;4;3;3;3
403;38;90;4;4;3;3
404;52;90;3;2;1;2
405;49;60;3;4;2;2
406;56;10;2;3;0;1
407;33;150;4;3;3;3
408;30;150;4;3;3;3
409;31;40;1;2;1;2
410;30;10;3;2;1;2
411;68;10;4;2;2;3
412;58;10;3;3;0;2
413;42;200;3;4;0;1
414;22;100;1;2;1;1
415;28;80;3;3;3;3
416;48;40;4;3;3;3
417;26;300;4;3;3;3
418;73;10;4;2;2;3
419;66;5;4;2;3;2
420;63;40;4;2;3;3
421;66;0;3;2;2;2
422;55;50;4;4;2;1
423;67;10;2;2;1;1
424;56;30;4;4;2;2
425;56;20;4;3;0;2
426;48;300;4;3;3;3
